Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Tryptophan Degradation III (Eukaryotic)	2.85E-01	4.35E-02	NaN	HAAO	
Semaphorin Signaling in Neurons	2.79E-01	3.57E-02	NaN	NRP1,SEMA4D	
Glutamate Receptor Signaling	2.79E-01	3.57E-02	NaN	SLC1A3,SLC1A4	
HOTAIR Regulatory Pathway	2.77E-01	3.25E-02	NaN	AKT3,FOXA1,IRF1,MYC,PIK3CG	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.61E-01	4E-02	NaN	PLCB4	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.53E-01	3.14E-02	NaN	ITPR1,ITPR2,PLCB4,PRKCH,PRKCZ	
Estrogen-mediated S-phase Entry	2.5E-01	3.85E-02	NaN	MYC	
Ethanol Degradation II	2.5E-01	3.85E-02	NaN	ADH1C	
Apelin Liver Signaling Pathway	2.5E-01	3.85E-02	NaN	TNF	
Bladder Cancer Signaling	2.41E-01	3.16E-02	NaN	MYC,RAP2B,RASD1	
Acetone Degradation I (to Methylglyoxal)	2.4E-01	3.7E-02	NaN	ZADH2	
Role of p14/p19ARF in Tumor Suppression	2.4E-01	3.7E-02	NaN	PIK3CG	
Wnt/Ca+ pathway	2.35E-01	3.23E-02	NaN	FZD5,PLCB4	
B Cell Development	2.3E-01	3.57E-02	NaN	HLA-A	
Noradrenaline and Adrenaline Degradation	2.2E-01	3.45E-02	NaN	ADH1C	
4-1BB Signaling in T Lymphocytes	2.03E-01	3.23E-02	NaN	MAPK11	
Circadian Rhythm Signaling	-0E00	3.12E-02	NaN	BHLHE40	
Actin Cytoskeleton Signaling	-0E00	2.39E-02	NaN	ARHGEF6,GNG12,PIK3CG,RAP2B,RASD1	
Mitochondrial Dysfunction	-0E00	1.87E-02	NaN	BCL2,LRRK2,XDH	
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	STAT1	
MIF Regulation of Innate Immunity	-0E00	2.5E-02	NaN	PLA2G5	
B Cell Activating Factor Signaling	-0E00	2.44E-02	NaN	MAPK11	
Cellular Effects of Sildenafil (Viagra)	-0E00	2.42E-02	NaN	ITPR1,ITPR2,PLCB4	
Mitotic Roles of Polo-Like Kinase	-0E00	3.12E-02	NaN	PLK2,PTTG1	
DNA Methylation and Transcriptional Repression Signaling	-0E00	2.94E-02	NaN	SAP30	
ATM Signaling	-0E00	1.05E-02	NaN	MAPK11	
Basal Cell Carcinoma Signaling	-0E00	1.45E-02	NaN	FZD5	
April Mediated Signaling	-0E00	2.56E-02	NaN	MAPK11	
RhoA Signaling	-0E00	2.54E-02	NaN	ARHGAP8/PRR5-ARHGAP8,CDC42EP3,SEPTIN10	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	3.08E-02	NaN	FZD5,IFNB1	
TWEAK Signaling	-0E00	2.86E-02	NaN	Naip1 (includes others)	
MIF-mediated Glucocorticoid Regulation	-0E00	3.12E-02	NaN	PLA2G5	
Cyclins and Cell Cycle Regulation	-0E00	2.56E-02	NaN	CCND3,CDK6	
Cell Cycle Control of Chromosomal Replication	-0E00	1.89E-02	NaN	CDK6	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	2.7E-02	NaN	IL6	
Actin Nucleation by ARP-WASP Complex	-0E00	2.99E-02	NaN	RAP2B,RASD1	
RhoGDI Signaling	-0E00	2.31E-02	NaN	ARHGAP8/PRR5-ARHGAP8,ARHGEF6,GNG12,SRC	
nNOS Signaling in Skeletal Muscle Cells	-0E00	2.5E-02	NaN	RYR2	
Ephrin A Signaling	-0E00	2.17E-02	NaN	PIK3CG	
Ephrin B Signaling	-0E00	2.82E-02	NaN	CXCR4,GNG12	
Netrin Signaling	-0E00	3.12E-02	NaN	ENAH,RYR2	
Retinoate Biosynthesis I	-0E00	3.12E-02	NaN	ADH1C	
tRNA Splicing	-0E00	2.44E-02	NaN	SMPDL3A	
Triacylglycerol Degradation	-0E00	2.33E-02	NaN	LIPG	
Estrogen Biosynthesis	-0E00	2.7E-02	NaN	HSD17B11	
Serotonin Degradation	-0E00	2.04E-02	NaN	ADH1C	
Retinol Biosynthesis	-0E00	2.63E-02	NaN	LIPG	
Inhibition of Matrix Metalloproteases	-0E00	2.7E-02	NaN	LRP1	
HIPPO signaling	-0E00	2.41E-02	NaN	SMAD3,WWTR1	
PCP pathway	-0E00	1.67E-02	NaN	FZD5	
Serotonin Receptor Signaling	-0E00	2.56E-02	NaN	GCH1	
Dopamine Receptor Signaling	-0E00	1.35E-02	NaN	GCH1	
Hypoxia Signaling in the Cardiovascular System	-0E00	1.35E-02	NaN	UBE2L6	
Sumoylation Pathway	-0E00	3.09E-02	NaN	DAXX,ISG20,PML	
Sirtuin Signaling Pathway	-0E00	1.49E-02	NaN	MYC,PPARG,TNF,TUBA8	
Iron homeostasis signaling pathway	-0E00	3.08E-02	NaN	ATP6V1D,IL6,LRP1,SMAD3	
Endocannabinoid Neuronal Synapse Pathway	-0E00	2.36E-02	NaN	ITPR1,MAPK11,PLCB4	
Apelin Adipocyte Signaling Pathway	-0E00	2.6E-02	NaN	CYBB,MAPK11	
BAG2 Signaling Pathway	-0E00	2.38E-02	NaN	MYC	
White Adipose Tissue Browning Pathway	-0E00	2.36E-02	NaN	FGFRL1,MAPK11,PPARG	
BEX2 Signaling Pathway	-0E00	2.7E-02	NaN	AKT3,BCL2	
Calcium Signaling	-0E00	2.05E-02	NaN	ITPR1,ITPR2,RAP2B,RYR2	
Complement System	-0E00	3.03E-02	NaN	CFH	
