Geneid	Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Ppid	1723	2617	1312	2157	1972	1661	1072	1235	1089	1260	1659	1092
Etfdh	632	662	345	461	422	381	282	346	231	248	244	204
4930579G24Rik	369	447	204	214	310	319	292	337	142	155	193	216
Rxfp1	0	0	0	0	0	0	0	0	0	0	0	0
Tmem144	81	96	22	37	40	37	67	78	35	39	43	29
Fam198b	6	4	0	1	0	0	8	19	0	1	0	0
Gria2	0	0	0	0	0	0	0	0	0	0	0	0
Glrb	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfc	0	0	1	0	0	1	2	1	1	1	0	0
Ctso	118	162	96	106	135	116	88	114	61	77	98	84
Tdo2	0	2	0	1	0	1	0	0	2	0	1	1
Asic5	0	0	0	0	0	0	0	0	0	0	0	0
Gucy1b3	0	0	0	0	0	0	0	0	0	0	0	0
Gucy1a3	0	0	0	0	0	0	0	0	0	0	0	0
Mir7010	0	0	0	0	0	0	0	0	0	0	0	0
Map9	33	35	19	11	46	29	10	8	1	5	4	4
Npy2r	0	0	0	0	0	0	0	0	0	0	0	0
Rbm46	0	0	0	0	0	0	0	0	0	0	0	0
Rbm46os	0	0	0	0	0	0	0	0	0	0	0	0
Lrat	0	0	0	0	0	0	0	0	0	0	0	0
Fgg	0	0	0	0	0	0	0	0	0	0	0	0
Fga	0	0	0	0	0	0	0	0	0	0	0	0
Fgb	0	0	0	0	0	0	0	0	0	0	0	0
Plrg1	1437	1447	1045	1276	1156	1317	685	909	855	971	801	653
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sfrp2	0	0	0	0	0	0	0	0	0	0	0	0
Tlr2	7	1	38	35	63	121	5	2	29	22	8	8
D930015E06Rik	1407	1256	1295	1262	1323	1282	1219	1377	699	687	1038	851
Mnd1	54	74	43	67	40	49	54	43	53	44	36	32
Trim2	45	37	5	12	6	4	235	278	58	86	31	30
Gm6525	0	2	0	0	0	0	1	0	1	0	2	1
4930565D16Rik	0	0	0	0	0	0	0	0	0	0	0	0
Fhdc1	2	3	2	1	0	0	6	6	0	1	4	3
Arfip1	1744	1691	729	815	1097	829	1030	1263	453	490	651	480
Tigd4	2	1	0	1	3	1	0	0	0	0	0	0
Tmem154	141	174	50	51	87	77	292	354	58	80	200	153
Fbxw7	736	682	679	498	658	526	483	558	637	492	488	371
Dear1	0	0	0	0	0	0	0	4	0	0	1	1
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mir466k	0	0	0	0	0	0	0	0	0	0	0	0
Gatb	253	246	127	178	250	267	128	165	90	107	214	155
Fam160a1	0	0	0	0	0	2	8	14	21	15	272	263
Glt28d2	0	0	1	0	0	1	2	3	26	23	51	42
Prss48	0	0	0	0	0	0	0	0	0	0	0	0
Sh3d19	0	1	0	0	2	0	1	3	1	4	0	5
Rps3a1	35674	33983	30822	34788	26707	28846	15006	19598	19800	20552	19372	14407
Snord73a	3	7	1	6	7	4	3	2	7	8	2	2
Rnu73b	7	21	11	26	22	17	9	3	10	7	6	3
Lrba	2202	2787	1583	2099	1481	1328	1800	2287	1566	1785	1375	1141
Mab21l2	0	0	0	3	0	0	0	0	1	0	0	0
Dclk2	145	193	111	174	77	101	113	172	129	124	66	62
Cd1d2	0	0	0	0	0	0	0	0	0	0	0	0
Cd1d1	2	2	3	2	0	0	12	30	25	23	16	15
Kirrel	1	1	0	0	0	0	0	0	0	0	2	1
Fcrls	0	0	0	0	1	0	1	0	0	0	0	0
Cd5l	0	0	1	1	7	9	0	0	0	0	1	1
Fcrl1	140	144	128	123	282	364	47	49	22	49	35	45
Fcrl5	0	0	0	0	14	2	0	0	0	0	0	0
Etv3	2727	2872	11458	11022	23442	28410	1023	1227	4665	5034	4420	3790
Arhgef11	703	876	322	418	562	676	465	539	183	214	335	286
Lrrc71	0	2	0	0	0	1	0	6	0	2	1	2
Pear1	4	0	0	0	0	2	0	0	1	0	1	0
Ntrk1	0	0	0	1	0	0	0	0	0	0	0	0
Insrr	1	4	0	2	2	0	0	0	0	0	1	0
Sh2d2a	0	0	0	0	5	10	0	0	0	0	6	5
Prcc	1120	1056	701	684	952	1111	497	636	460	443	702	572
Hdgf	7645	7901	6628	8114	5506	6483	3202	3702	4247	4203	3711	2822
Mrpl24	609	596	484	632	632	630	284	304	229	269	507	330
Rrnad1	168	297	158	260	251	266	122	170	144	122	160	150
Isg20l2	1546	1728	1331	1592	1533	1583	599	705	738	731	788	713
Crabp2	0	0	1	1	0	0	1	2	2	2	7	5
Nes	42	21	58	22	52	57	1	2	4	2	60	65
Bcan	0	0	0	0	0	0	0	0	0	0	0	0
Hapln2	0	0	0	0	0	0	0	0	0	0	0	0
Gpatch4	667	804	523	639	764	852	319	386	371	437	613	484
Apoa1bp	803	690	551	618	437	530	295	413	353	351	224	212
Ttc24	0	0	0	0	0	0	0	0	0	0	0	0
Iqgap3	1828	2120	1462	2137	3293	4380	1467	1541	1711	1661	1246	1227
Mef2d	1948	2104	942	1066	1235	1767	713	865	419	403	801	804
1700113A16Rik	158	196	65	76	76	95	78	73	25	33	38	46
Mir3093	0	0	0	0	0	0	0	0	0	0	0	0
Mir9-1	0	0	0	0	0	0	0	0	0	0	0	0
Rhbg	0	1	0	0	2	0	0	0	0	0	0	0
Tsacc	9	12	11	9	20	22	5	4	4	5	12	14
Cct3	11459	10872	10217	10644	17304	16989	3869	4799	6074	5522	14407	10623
Glmp	1411	1299	890	1053	680	926	667	807	475	548	376	371
Tmem79	575	609	333	331	196	333	300	353	198	189	236	255
Smg5	2978	3772	1948	2874	2258	2880	2825	3467	2420	2449	2844	2456
Paqr6	0	1	1	1	2	1	0	0	0	1	0	1
Bglap3	3	3	4	12	1	6	1	2	1	2	4	1
Bglap2	0	0	0	0	0	0	0	0	0	0	0	0
Bglap	0	0	0	0	2	1	1	3	1	0	0	0
Pmf1	1558	1441	1143	1290	849	1092	1153	1198	1182	1197	1171	1137
Slc25a44	1084	1017	758	908	891	1000	678	851	720	742	933	789
Sema4a	928	828	941	1185	283	478	448	781	943	1641	210	269
Mir7011	0	0	0	1	0	0	0	1	0	0	0	0
Lmna	1152	1234	826	1092	327	354	169	187	392	193	75	69
Mex3a	92	80	60	46	45	58	9	11	24	13	19	26
Mir1905	0	0	0	0	0	0	0	0	0	0	0	0
Rab25	23	16	18	6	2	6	16	12	7	10	6	5
Lamtor2	988	885	695	790	402	484	768	881	764	814	519	407
Ubqln4	1932	1945	1398	1639	1384	1755	1181	1401	1433	1418	1524	1578
Ssr2	3276	3029	2652	3113	1992	2195	2042	2428	2593	2766	1838	1614
Arhgef2	4296	3867	5260	5881	2907	3267	3262	3620	5704	6138	2581	2525
Rxfp4	0	0	1	1	2	0	0	0	0	0	1	1
2810403A07Rik	1118	1709	855	1622	1282	1102	1356	1597	1421	1395	1300	983
Rit1	590	495	470	491	326	409	565	681	641	685	541	553
Syt11	6	14	8	6	30	34	291	342	659	834	319	264
5830417I10Rik	650	817	345	347	657	674	528	693	383	301	625	581
1500004A13Rik	44	87	37	57	62	46	43	51	33	34	40	25
Gon4l	1237	1446	727	725	1263	1357	971	1294	698	575	1296	1024
Msto1	664	649	499	575	535	544	461	580	494	575	600	547
Dap3	1246	1289	1064	1327	850	843	721	839	892	966	629	527
Ash1l	1142	2036	1354	2259	1406	1513	1348	1874	1855	2282	1448	1262
Rusc1	2198	2605	743	1166	622	816	2470	3588	914	1301	1240	1177
Fdps	8539	7135	6844	7177	8389	9465	8726	11000	10550	10847	13325	11728
Pklr	0	0	1	0	0	0	0	0	0	0	0	0
Hcn3	17	24	26	51	31	39	3	5	92	87	17	12
Clk2	154	290	122	198	218	177	173	203	196	225	178	157
Clk2-scamp3	0	0	0	1	1	1	3	1	2	2	1	1
Scamp3	65	77	34	60	36	59	75	77	67	60	66	57
Fam189b	12	34	7	11	6	33	50	55	26	33	20	19
Gba	1323	1254	987	1150	991	1046	1100	1347	1147	1143	1046	854
Mtx1	885	940	699	761	709	755	527	695	659	633	799	688
Thbs3	3	6	2	10	10	5	5	3	3	2	0	3
Mir92b	0	0	0	0	0	0	0	0	0	0	0	0
Muc1	2	4	3	3	17	19	2	7	4	2	1	0
Trim46	23	18	14	26	20	15	71	79	27	38	12	26
Krtcap2	1181	1103	815	945	533	655	1107	1335	1115	1208	698	737
Dpm3	223	206	186	230	100	181	163	211	196	204	99	145
Slc50a1	243	306	166	191	149	148	254	360	209	237	127	131
Efna1	8	5	1	0	1	2	0	1	0	1	0	0
Efna3	5	6	5	2	2	1	1	1	1	0	2	2
Efna4	7	6	1	4	4	1	0	0	0	1	0	0
Adam15	1080	1208	716	1007	216	273	419	525	347	380	119	132
Dcst1	2	13	2	6	7	9	4	13	5	2	3	5
Zbtb7b	1600	1408	1697	1706	1099	1437	1619	2013	2000	1968	2148	2387
Gm15417	32	34	22	33	27	52	26	26	26	36	41	68
Lenep	16	19	18	16	35	40	13	26	9	12	31	30
Flad1	337	353	241	248	475	485	253	332	281	235	428	442
Cks1b	2584	2551	1882	2183	1612	1833	2226	2383	2225	2064	1896	1399
Shc1	4714	4601	3572	4296	2974	3530	3075	3685	3054	3405	2757	2657
Pygo2	2285	2368	1936	2047	1084	1385	2127	2721	1932	2116	1664	1626
Pbxip1	1167	1337	995	1202	1317	1873	939	1232	757	830	1316	1341
Pmvk	1057	887	1004	1055	1555	1716	1120	1343	1571	1431	2606	2151
Kcnn3	0	0	0	0	0	0	1	0	0	0	0	0
Adar	3282	3277	2617	2243	4460	5472	2000	2793	2361	1798	6903	6126
Chrnb2	30	30	11	22	44	52	29	23	12	11	43	45
4632404H12Rik	49	81	39	51	81	92	48	73	42	39	92	90
Ube2q1	3319	3776	1645	1986	2841	2939	3002	3681	1563	1616	3431	2617
She	821	985	182	253	103	96	166	253	39	42	14	18
Il6ra	701	879	210	305	130	179	497	736	77	143	119	100
Atp8b2	2212	2244	1946	2122	1111	1379	1189	1562	1424	1394	949	927
Hax1	1269	1109	1212	1150	2950	2994	1003	1180	1189	1189	2573	1921
Gm19710	18	42	12	15	50	59	19	20	22	21	35	35
Ubap2l	5419	6033	4263	5459	5931	6591	4645	5739	5481	5982	6347	5462
Mir7669	0	1	1	1	7	2	0	1	0	2	1	1
4933434E20Rik	1016	1138	759	944	1015	1056	683	858	687	742	847	724
1700094D03Rik	35	62	19	54	50	56	28	34	23	19	52	30
Mir190b	0	0	0	0	0	0	0	0	0	0	0	0
Tpm3	21822	21845	18030	21263	16750	17454	17017	20115	20401	20611	19727	15014
Nup210l	31	65	29	49	49	48	46	65	35	53	56	30
Rps27rt	0	0	0	0	0	0	0	0	0	0	0	0
Rps27	40	29	46	45	61	82	36	35	43	44	61	72
Rab13	15	6	12	10	22	11	60	72	92	91	150	104
Jtb	780	1087	796	1038	1483	1504	803	1005	962	944	1423	1253
Creb3l4	11	5	11	22	17	16	5	7	21	12	14	16
Slc39a1	1767	1464	2778	2968	2092	2360	1619	2117	4583	5123	3022	2776
Crtc2	1523	1778	3155	3992	2693	3698	1363	1650	5496	6084	4074	3972
Dennd4b	2590	3347	4723	6545	3931	5545	3058	4205	7354	8626	5459	5930
Mir7012	0	0	0	0	0	0	0	0	0	0	0	0
Gatad2b	1072	1187	953	1163	839	1060	846	1078	949	1017	1042	999
Slc27a3	36	62	22	28	46	58	43	57	33	19	57	42
Ints3	1733	1907	811	1196	1351	1738	1415	1889	811	974	1603	1447
Npr1	1	3	1	2	8	1	1	4	2	1	8	5
Ilf2	1689	1979	1453	1750	1817	1993	1480	1718	1759	1816	2182	1707
Snapin	404	489	194	281	380	400	305	457	196	193	335	321
Chtop	2356	2642	2166	2751	2685	3007	2266	2646	2688	2770	3276	2928
S100a1	299	271	262	261	202	247	297	323	284	356	259	208
S100a13	335	316	280	280	178	203	306	400	361	357	221	182
S100a14	0	1	0	1	0	0	0	0	0	0	0	2
S100a16	0	0	0	0	0	0	0	0	0	0	0	0
S100a2	0	0	0	0	0	0	0	0	0	0	0	0
S100a3	0	0	0	0	0	0	0	0	0	0	0	0
S100a4	1	19	0	15	0	5	0	0	0	0	0	1
S100a5	0	0	0	0	0	0	0	0	0	0	0	0
S100a6	0	0	0	0	0	1	0	0	0	3	1	0
S100a7a	0	0	0	0	0	0	0	0	0	0	0	0
S100a8	0	0	0	0	0	0	0	0	0	0	0	0
S100a9	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp4	0	0	0	0	0	0	0	0	0	0	0	0
4930529C04Rik	0	0	0	0	1	0	0	0	0	0	0	0
9130204L05Rik	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp3	0	0	0	0	0	0	0	0	0	0	0	0
Lor	1	0	0	0	0	0	0	0	0	0	0	0
Prr9	0	0	0	0	0	0	0	0	0	0	0	0
Lelp1	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2a2	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2a1	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2a3	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2b	0	0	0	0	0	1	0	0	0	0	0	0
Sprr2d	0	0	0	0	0	1	0	0	0	0	0	0
Sprr2e	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2f	0	0	0	0	0	1	0	0	0	0	0	0
Sprr2g	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2h	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2i	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2j-ps	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2k	0	0	0	0	0	0	1	0	0	0	0	0
Sprr1b	0	0	0	0	0	0	0	0	0	0	0	0
Sprr3	0	0	0	0	0	0	0	0	0	0	1	0
Sprr1a	0	0	0	0	0	0	0	0	0	0	0	0
Sprr4	0	0	0	0	0	0	0	1	0	0	0	0
Ivl	0	0	0	0	0	0	0	0	0	0	0	0
Smcp	0	0	0	0	0	0	0	0	0	0	0	0
Lce6a	0	0	0	0	0	0	0	0	0	0	0	0
Lce1a1	0	0	0	0	0	0	0	0	0	0	0	0
Lce1b	0	0	0	0	0	0	0	0	0	0	0	0
Lce1a2	0	0	0	0	0	0	0	0	0	0	0	0
Lce1c	0	0	0	0	0	0	0	0	0	0	0	0
Lce1d	0	0	0	0	0	0	0	0	0	0	0	0
Lce1e	0	0	0	0	0	0	0	0	0	0	0	0
Lce1f	0	0	0	0	0	0	0	0	0	0	0	0
Lce1g	0	0	0	0	0	0	0	0	0	0	0	0
Lce1h	0	0	0	0	0	0	0	0	0	0	0	0
Lce1i	0	0	0	0	0	0	0	0	0	0	0	0
Lce1j	0	0	0	0	0	0	0	0	0	0	0	0
Lce1k	0	0	0	0	0	0	0	0	0	0	0	0
Kprp	0	0	0	0	0	0	0	0	0	0	0	0
Lce1l	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
Lce3a	0	0	0	0	0	0	0	0	0	0	0	0
Lce3b	0	0	0	0	0	0	0	0	0	0	0	0
Lce3c	0	0	0	0	0	0	0	0	0	0	0	0
Lce3d	0	0	0	0	0	0	0	0	0	0	0	0
Lce3e	0	0	0	0	0	0	0	0	0	0	0	0
Lce3f	0	0	0	0	0	0	0	0	0	0	0	0
Crct1	0	1	0	1	0	0	0	2	0	0	0	0
Lce1m	0	0	0	0	0	0	0	0	0	0	0	0
Gm4858	0	1	0	0	0	0	0	0	0	0	0	0
Crnn	0	0	0	0	0	0	0	0	0	0	0	0
Flg2	0	0	0	0	0	0	0	0	0	0	1	0
Hrnr	0	0	0	0	0	0	0	0	0	0	0	0
Rptn	0	0	0	0	0	0	0	0	0	0	0	0
Mir5124a	0	0	0	0	0	0	0	0	0	0	0	0
Tchh	258	275	107	148	10	11	258	386	108	160	7	5
Tchhl1	0	1	1	1	0	0	1	0	0	0	0	0
S100a11	7167	7414	5727	7301	4080	4897	5064	6568	5647	6496	3706	3868
S100a10	8	16	7	8	6	5	416	618	423	493	201	175
Tdpoz2	0	0	2	2	6	6	0	0	0	0	0	1
Tdpoz1	0	0	3	0	20	12	0	0	0	0	1	1
Tdpoz4	0	2	1	1	5	3	0	0	0	2	0	0
Tdpoz3	0	0	0	0	0	0	0	0	0	0	0	0
Gm9125	0	0	0	0	0	0	0	0	0	0	0	0
Gm10697	0	0	0	0	0	0	0	0	0	0	0	0
Tdpoz5	0	0	0	0	0	0	0	0	0	0	0	0
Gm10696	0	0	0	0	0	0	0	0	0	0	0	0
Them4	59	42	41	33	45	24	61	84	45	49	49	34
Them5	0	0	0	0	0	0	0	0	0	0	0	0
C2cd4d	0	0	0	0	0	0	0	0	0	0	0	0
Rorc	0	0	0	0	0	0	1	5	0	1	3	4
Lingo4	0	0	0	0	0	0	0	0	0	0	0	0
Tdrkh	309	430	207	279	335	333	485	529	399	399	685	537
Oaz3	4	12	5	10	13	9	8	14	6	5	14	11
Mrpl9	1620	1603	1123	1278	1347	1468	1144	1287	1248	1215	1579	1234
Riiad1	0	0	1	0	3	1	0	0	0	0	1	1
Celf3	1	6	0	3	2	4	7	2	0	2	3	2
Snx27	1419	1720	680	891	1212	1176	1237	1493	608	634	1196	877
Tuft1	174	238	154	162	159	193	172	238	143	160	126	110
BC021767	0	0	0	0	1	0	0	0	0	0	0	0
Selenbp2	0	0	0	0	0	0	0	0	0	0	0	0
Cgn	6	1	1	2	2	3	3	3	1	0	6	2
Pogz	1218	1435	925	1285	1055	1251	1015	1319	1150	1229	1066	1023
Psmb4	7050	6390	6053	6750	5419	6138	4563	5487	5927	5846	5882	5118
Selenbp1	0	0	0	0	0	0	0	0	0	0	0	0
Rfx5	520	633	520	739	633	684	575	761	857	1095	811	720
Pi4kb	1287	1483	729	785	1154	1275	1128	1446	744	838	1422	1108
Mir7013	1	6	7	4	0	2	1	2	1	1	5	1
Zfp687	600	752	460	579	551	604	483	586	545	598	592	571
Psmd4	3250	3340	2802	3509	3152	3570	2336	2786	2730	3032	3299	2720
Pip5k1a	1281	1395	1271	1469	1391	1324	955	1052	1218	1306	1257	1040
Vps72	963	932	563	705	665	947	642	830	699	705	812	829
Tmod4	3	11	3	5	9	12	7	12	11	7	8	12
Scnm1	401	397	231	289	413	404	327	369	257	230	429	334
Lysmd1	104	97	51	62	87	95	109	133	54	45	94	74
Tnfaip8l2	951	784	136	199	403	369	739	954	128	162	410	298
Sema6c	4	4	3	1	13	8	1	0	1	1	0	1
Gabpb2	3535	4853	2032	3496	2339	2700	4519	5148	3280	3747	3088	2629
Gm16740	8	10	9	8	8	13	9	9	6	11	17	10
Mllt11	255	324	321	365	373	299	271	311	330	341	444	304
Cdc42se1	6069	6591	5379	6332	4485	4979	5845	7536	7770	8717	5601	5287
Gm128	3	4	3	3	2	3	3	4	5	2	1	0
Bnipl	1	1	0	1	3	0	1	0	1	1	3	1
Prune	399	373	190	175	279	259	342	414	198	117	249	197
Fam63a	76	64	22	25	36	31	109	150	49	60	43	36
Anxa9	11	15	25	14	14	12	19	19	11	12	10	6
Cers2	3075	3601	1999	2649	1929	2005	2074	2553	1677	1822	1583	1337
Setdb1	1977	2239	983	1130	1730	1583	1568	1805	987	868	1561	1141
4930558C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm4349	30	54	14	14	8	4	26	34	9	12	0	1
Arnt	1478	1550	906	1125	1213	1309	1291	1573	1124	1080	1276	1099
Ctsk	2	5	0	1	3	2	5	4	1	0	6	7
Ctss	6402	5827	4770	5185	4083	3832	4620	5543	4715	4912	4435	3229
Hormad1	0	7	0	0	1	2	0	0	0	0	2	2
Golph3l	765	919	589	612	785	767	634	782	581	521	719	498
Ensa	1810	1998	1867	2398	2722	2693	1676	2114	2188	2377	3275	2681
Mcl1	10259	10508	11377	14524	12761	12903	6641	7950	10471	11284	14273	11368
Adamtsl4	12	11	9	7	24	25	21	18	21	18	49	35
Ecm1	24	28	28	38	48	51	14	28	14	18	33	36
Mir7014	0	0	1	1	1	1	1	0	0	0	0	0
Tars2	882	1072	636	788	1154	1319	626	837	642	640	986	836
Rprd2	1586	1745	1114	1320	1278	1508	1272	1519	1065	1052	1308	1123
Prpf3	1419	1858	1120	1469	1243	1417	1323	1520	1396	1528	1496	1211
Mrps21	795	773	648	730	469	614	660	808	700	742	645	574
C920021L13Rik	18	58	11	15	5	3	34	41	12	9	2	4
Ciart	65	89	21	32	22	31	107	135	40	38	92	95
BC028528	254	223	109	136	16	4	255	299	151	199	21	7
Aph1a	2007	1901	1366	1595	1022	1114	1632	2028	1425	1546	1132	890
Car14	3	7	3	4	2	2	3	1	3	1	1	0
Anp32e	8439	9749	5981	8449	4585	5220	7148	7783	6304	6669	4958	3995
Gm9054	24	18	5	6	4	7	19	34	9	7	21	7
Plekho1	4906	5205	1797	2593	1462	2425	4184	5122	1126	1121	2596	2123
Vps45	430	412	298	337	489	443	449	527	405	456	687	464
Mir1946b	1	1	1	1	0	0	0	0	1	1	0	1
Otud7b	1107	1069	1245	1514	895	895	791	854	1203	1285	824	674
Mtmr11	33	34	48	42	46	41	30	42	39	32	63	41
Sf3b4	2096	1964	1942	2156	2089	2401	1273	1628	1768	1764	1841	1922
Sv2a	5	4	1	2	6	4	6	13	4	6	14	9
Bola1	152	167	71	117	120	113	105	143	66	103	131	128
Hist2h2ab	0	0	0	0	1	2	1	0	1	1	0	0
Hist2h2ac	2	2	4	2	1	0	5	4	5	2	6	0
Hist2h2be	182	229	60	128	75	74	109	144	39	46	68	57
Hist2h3c2	0	0	0	0	0	0	0	0	0	0	0	0
Hist2h3c1	0	0	0	0	0	0	0	0	0	0	0	0
Hist2h2aa1	0	0	0	0	0	0	0	0	0	0	0	0
Hist2h2aa2	0	5	1	1	2	2	0	1	1	0	2	2
Hist2h4	0	2	0	0	3	2	1	0	0	1	2	1
Hist2h3b	0	1	3	2	3	6	0	0	1	0	0	0
Hist2h2bb	12	7	11	5	4	1	12	6	8	6	7	3
Fcgr1	0	1	0	1	10	7	1	0	0	0	7	6
Terc	0	0	0	0	0	0	0	0	0	0	0	0
BC107364	0	0	0	0	0	0	0	0	0	1	0	0
Hfe2	0	0	0	0	0	0	1	0	0	0	0	0
Gm15441	1	3	1	1	1	1	5	5	0	4	2	3
Txnip	2148	2830	1238	2267	1238	1512	1223	1810	993	1377	1417	971
Polr3gl	93	124	66	86	49	77	54	55	39	48	40	43
Ankrd34a	0	0	0	0	0	1	0	2	0	0	1	0
Lix1l	269	335	123	153	116	109	141	152	65	72	53	36
6330549D23Rik	10	30	12	8	14	20	15	17	9	6	18	16
Rbm8a	3019	2932	2387	2740	2647	2933	1647	1863	1912	1929	2323	1913
Pex11b	432	461	193	184	265	308	297	435	143	164	243	207
Itga10	19	33	10	23	36	29	24	20	12	8	24	22
Ankrd35	1	1	2	5	4	12	0	0	1	1	1	1
Pias3	266	306	95	126	170	218	240	277	114	116	117	92
Nudt17	12	9	13	17	108	128	4	4	43	56	72	68
Polr3c	1287	1328	1009	1145	1288	1392	946	1100	974	1051	1447	1034
Rnf115	1885	1909	1326	1460	1471	1410	1733	1936	1780	1852	1857	1497
Cd160	4	4	4	5	6	2	3	11	9	7	5	5
4930442L01Rik	0	0	0	0	0	0	0	0	0	0	0	0
Pdzk1	108	159	64	106	60	86	98	127	82	88	89	89
Gpr89	395	409	255	323	250	280	241	309	257	273	284	208
Gja8	0	0	0	0	0	0	0	0	1	0	0	1
Gja5	0	0	0	0	1	0	0	0	0	0	0	0
Acp6	285	349	201	303	135	183	262	360	181	226	174	184
Bcl9	922	988	1078	964	890	1210	879	1097	1498	1477	1953	1914
Mir378c	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1402	0	0	0	0	0	0	0	0	0	0	0	0
Chd1l	846	1030	596	871	638	712	709	887	601	704	749	653
Fmo5	89	139	38	75	83	67	238	372	135	163	212	189
Prkab2	376	714	421	807	887	833	829	1029	1810	1541	1422	1152
Pde4dip	1139	1089	614	659	1008	1082	1872	2154	1313	1258	2099	1829
Mir7225	0	0	0	0	0	0	0	0	0	0	0	0
Sec22b	1071	1194	795	906	1043	1130	970	1262	1076	1024	1304	1021
Gm5544	0	9	0	1	1	0	5	3	0	2	0	0
Notch2	6172	7144	2796	2465	1544	2171	5582	7327	2629	2126	2665	2341
Adam30	1	0	0	0	0	0	0	0	0	0	0	0
Reg4	0	0	0	0	0	0	0	0	0	0	0	0
Hmgcs2	0	0	0	0	0	0	0	0	0	0	0	0
Phgdh	454	441	307	436	96	143	3601	4315	3347	3749	1300	1145
Zfp697	0	0	0	0	0	0	1	2	0	1	0	1
Hsd3b4	0	0	0	0	0	0	0	0	0	0	0	0
Gm10681	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b5	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b2	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b3	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b6	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b1	0	0	0	0	0	0	0	0	0	0	0	0
Hao2	0	0	0	0	0	0	0	0	0	0	0	0
Gm12440	0	0	0	0	0	0	0	0	0	0	0	0
Wars2	131	174	99	120	138	138	95	130	92	110	157	114
Mir6481	1	0	1	1	1	1	2	4	2	1	2	3
Tbx15	2	1	1	2	0	0	1	2	9	2	2	2
Spag17	3	7	4	8	3	5	3	6	3	6	2	7
Wdr3	1815	2188	959	1261	1522	1433	1766	2044	1117	1229	1988	1474
Gdap2	1107	1215	412	631	719	650	1116	1405	514	686	729	560
4930406D18Rik	0	0	0	0	0	0	0	0	0	0	0	0
Fam46c	160	165	491	785	323	504	98	110	569	687	354	353
Man1a2	1982	2162	1619	1654	1469	1449	2163	2721	2397	2213	1876	1623
Vtcn1	0	0	0	0	0	0	0	0	0	0	0	0
Trim45	84	109	33	31	26	59	87	105	23	16	33	42
Ttf2	994	1185	453	600	728	813	916	1042	577	504	925	758
Cd101	0	4	1	5	0	0	0	0	0	1	0	0
Ptgfrn	0	1	1	1	0	1	0	0	1	1	0	0
Cd2	0	0	0	0	0	0	0	0	0	0	0	0
Igsf3	0	0	0	0	0	0	0	0	0	0	0	0
Atp1a1	25763	24703	28625	31644	19517	23661	13977	18201	23574	23782	19891	18337
Mab21l3	127	39	12910	8236	13180	16428	76	82	17094	15422	10873	10089
Slc22a15	20	17	179	151	105	113	137	154	748	676	231	171
Nhlh2	0	0	0	0	0	1	0	0	0	0	0	0
Casq2	0	0	0	0	0	0	0	0	0	0	0	0
Vangl1	0	0	0	0	0	0	0	0	0	0	0	0
A230001M10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Ngf	0	0	0	0	0	0	0	0	0	0	0	0
Tspan2os	0	0	2	2	6	2	1	8	7	4	4	10
Tspan2	701	641	1615	1613	730	807	1424	1773	4182	3596	2254	1930
Tshb	0	3	1	2	0	1	7	3	5	12	3	1
Sycp1	0	0	0	0	0	0	0	0	0	1	0	0
Nr1h5	0	0	0	0	0	1	0	0	0	0	0	0
Sike1	599	597	304	396	326	363	699	837	444	466	456	340
Csde1	11190	12486	11504	13367	13546	12301	10044	11257	14444	14748	13998	10483
Nras	2662	2996	2150	2621	2146	2166	2720	3077	2627	2544	1947	1556
Ampd1	0	0	0	0	0	0	0	3	0	1	0	0
Dennd2c	637	658	197	299	121	98	669	836	243	238	177	124
Bcas2	1704	1974	1105	1513	1176	1339	1129	1377	1065	1042	1135	866
Trim33	1391	1656	1084	1261	1023	978	1052	1284	1052	934	811	653
Syt6	0	0	0	0	0	0	0	0	0	0	0	0
